text,label
IISc Bengaluru clarifies revised safety standards for food packaging. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
World Health Organization announces inflation data report for the current month. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
Railways implements air quality improvement measures post-monsoon. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
Alien reveals reading minds through Wi‑Fi signals. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
Mind reader reveals chocolate turning water into petrol. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
Flat Earth leader warns dinosaurs living under the Himalayas. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
Reserve Bank of India publishes new education policy draft to modernize curriculum. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
Ghost warns television predicting lottery numbers perfectly. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
Moon resident announces instant cure for all diseases with one herb. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
IIT Bombay proposes inflation data report for the current month. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
UNICEF updates cybersecurity advisory for public sector units. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
Anonymous insider shows clouds made of cotton candy over Chennai. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
Shape-shifter reveals time travel tickets sold at railway stations. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
Railways notifies update on monsoon forecast across regions. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
Ghost warns time travel tickets sold at railway stations. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
Secret society confesses dinosaurs living under the Himalayas. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
UNESCO publishes new metro route feasibility study results. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
Shape-shifter announces television predicting lottery numbers perfectly. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
ISRO announces grant for clean energy research initiatives. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
ISRO launches scholarship scheme for meritorious students. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
Moon resident confesses gateway to Mars found in a Bengaluru basement. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
IMD releases grant for clean energy research initiatives. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
Flat Earth leader declares clouds made of cotton candy over Chennai. Witnesses claim unbelievable scenes and say more surprises are coming tomorrow.,FAKE
IIT Bombay announces grant for clean energy research initiatives. Officials stated the change aims to improve public services and will be reviewed next month.,REAL
